meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1235,1,77.24,760.494,173.151,21,5,6,267.4,0,5.3,23.972,43.454,100,7530,11985,10610,100,77.0,101,323,229,76.447,914.654,169.952,23,3,3,757.9,0,4.6,24.379,36.842,100,7317,12034,10662,100,77.0,99,324,229,76.366,1022.117,204.452,21,6,6,614.2,0,3.8,23.604,44.481,100,6318,11995,10439,100,75.0,103,334,228,74.746,519.198,201.845,18.0,6.0,6.0,360.7,0.0,4.2,24.188,41.559,100.0,6931.0,12006.0,10691.0,100.0,76.0,104.0,340.0,235.0
1235,2,79.901,999.722,188.514,22,3,4,957.0,0,5.3,23.972,43.454,100,7343,12142,10528,100,74.0,96,326,219,77.848,436.671,106.776,22,3,3,197.0,0,4.6,24.379,36.842,100,7183,11912,10500,100,74.0,99,325,223,76.794,666.036,178.941,16,5,5,195.3,0,3.8,23.604,44.481,100,7457,12061,10654,100,74.0,101,332,227,76.731,297.774,145.579,8.0,3.0,3.0,187.0,0.0,4.2,24.188,41.559,100.0,7337.0,12409.0,10662.0,100.0,73.0,98.0,336.0,229.0
1235,3,78.142,865.548,155.234,26,3,4,402.5,0,5.3,23.972,43.454,100,6820,12177,10697,100,76.0,94,319,221,76.967,537.461,122.39,32,4,4,301.9,0,4.6,24.379,36.842,100,7402,11982,10616,100,75.0,101,325,229,76.56,682.179,215.55,15,5,5,495.9,0,3.8,23.604,44.481,100,7219,12146,10789,100,76.0,99,330,228,75.674,1006.233,233.436,15.0,5.0,5.0,462.2,0.0,4.2,24.188,41.559,100.0,7712.0,12447.0,10877.0,100.0,77.0,105.0,330.0,231.0
1235,4,77.602,1120.686,224.497,17,6,7,334.7,0,5.3,23.972,43.454,100,7389,12239,10742,100,73.0,104,319,227,76.98,641.707,126.437,30,4,4,350.1,0,4.6,24.379,36.842,100,7541,12263,10817,100,73.0,103,328,230,75.829,1079.699,315.394,15,6,6,751.9,0,3.8,23.604,44.481,100,7581,12225,10882,100,75.0,105,327,232,74.837,741.838,195.681,19.0,7.0,7.0,301.5,0.0,4.2,24.188,41.559,100.0,7640.0,12364.0,10919.0,100.0,75.0,106.0,333.0,237.0
1235,10,77.905,828.209,193.619,21,3,4,890.4,0,5.3,23.972,43.454,100,7419,11766,10542,100,76.0,102,320,227,77.064,528.267,120.196,32,4,4,258.4,0,4.6,24.379,36.842,100,7574,11722,10625,100,76.0,103,320,228,77.361,1017.542,226.284,17,5,5,617.2,0,3.8,23.604,44.481,100,7669,11957,10596,100,76.0,104,325,229,76.015,682.925,179.626,14.0,5.0,5.0,287.7,0.0,4.2,24.188,41.559,100.0,7582.0,11922.0,10711.0,100.0,77.0,104.0,329.0,233.0
1235,11,77.233,938.119,169.384,23,3,4,468.4,0,5.3,23.972,43.454,100,7086,11753,10462,100,76.0,98,325,227,76.552,913.897,154.784,25,5,5,326.0,0,4.6,24.379,36.842,100,7381,11828,10561,100,75.0,100,327,231,76.631,761.428,203.112,18,4,4,835.2,0,3.8,23.604,44.481,100,6492,12203,10503,100,76.0,99,331,230,75.706,589.795,243.117,10.0,4.0,4.0,450.4,0.0,4.2,24.188,41.559,100.0,6958.0,11951.0,10691.0,100.0,74.0,95.0,337.0,230.0
1235,14,77.867,1390.755,219.357,18,4,5,741.4,0,5.3,23.972,43.454,100,7436,11886,10756,100,75.0,101,326,227,76.838,633.545,132.854,29,3,3,547.2,0,4.6,24.379,36.842,100,7533,11950,10783,100,74.0,101,330,230,77.339,518.617,156.079,10,3,3,233.2,0,3.8,23.604,44.481,100,6869,11950,10746,100,74.0,94,330,228,76.917,133.045,106.946,7.0,3.0,3.0,41.2,0.0,4.2,24.188,41.559,100.0,7136.0,12290.0,10866.0,100.0,75.0,98.0,335.0,229.0
1235,16,76.99,707.569,128.932,30,3,4,344.7,0,5.3,23.972,43.454,100,7428,12086,10659,99,80.0,101,320,229,75.906,702.493,132.512,29,4,4,345.8,0,4.6,24.379,36.842,100,6876,12086,10679,99,79.0,105,325,232,76.087,1088.848,207.974,20,5,5,692.3,0,3.8,23.604,44.481,100,7172,12473,10843,100,80.0,111,330,236,74.97,588.533,174.819,21.0,6.0,6.0,314.8,0.0,4.2,24.188,41.559,100.0,7207.0,12078.0,10806.0,99.0,79.0,111.0,330.0,235.0
1235,18,78.072,885.099,177.185,22,4,4,555.4,0,5.3,23.972,43.454,100,7337,11876,10575,100,76.0,96,323,225,76.991,1101.903,148.171,26,3,3,667.6,0,4.6,24.379,36.842,100,7233,11830,10681,100,77.0,97,326,227,76.543,694.15,165.684,24,6,6,293.2,0,3.8,23.604,44.481,100,7304,11988,10718,100,76.0,99,333,229,75.992,649.711,165.152,15.0,5.0,5.0,258.8,0.0,4.2,24.188,41.559,100.0,7294.0,12022.0,10823.0,100.0,78.0,99.0,335.0,232.0
1235,20,77.129,627.704,122.693,32,4,4,309.9,0,4.6,24.379,36.842,100,7461,12247,10734,100,75.0,101,330,227,76.923,1714.452,311.995,12,3,3,,0,3.8,23.604,44.481,100,7325,12255,10688,100,74.0,98,334,229,76.854,321.414,136.307,8,3,3,148.4,0,4.2,24.188,41.559,100,7173,12273,10665,100,74.0,99,333,225,,,,,,,,,,,,,,,,,,,,
