meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1232,1,90.056,1153.089,220.624,18.0,4.0,,,0,3.0,16.566,24.296,100,5247,12017,10438,100,76.0,74,321,232,,,,,1,,,1,1.9,13.021,16.752,104,0,6924,209,104,92.0,0,0,0,89.563,740.293,170.303,23,5,5,341.2,0,2.5,17.382,26.661,100,5052,11830,10373,100,75.0,73,323,231,88.197,1177.613,302.601,12,4,4,717.5,0,2.6,17.539,26.711,100,5334,11916,10514,100,77.0,74,324,236
1232,2,93.204,598.74,174.793,9.0,2.0,,,0,3.0,16.566,24.296,100,6003,12311,10357,100,69.0,70,324,222,,,,,1,,,1,1.9,13.021,16.752,0,0,0,0,0,0.0,0,0,0,91.452,790.645,176.585,20,4,4,401.8,0,2.5,17.382,26.661,100,5112,12568,10463,100,69.0,70,326,227,90.139,282.739,137.196,6,2,2,165.3,0,2.6,17.539,26.711,100,5117,12456,10564,100,72.0,71,322,230
1232,3,,,,,,,,0,3.0,16.566,24.296,104,0,0,0,104,104.0,0,0,0,101.913,1345.716,356.096,9.0,3,2.0,923.3,1,1.9,13.021,16.752,100,5594,12094,10206,100,65.0,66,310,205,90.682,590.96,143.918,24,4,4,227.2,0,2.5,17.382,26.661,100,5430,12093,10313,100,75.0,74,321,230,89.472,563.6,188.327,12,4,4,284.1,0,2.6,17.539,26.711,100,5358,12258,10392,100,76.0,75,322,232
1232,4,91.24,913.524,187.457,22.0,4.0,,,0,3.0,16.566,24.296,100,6308,12594,10577,99,71.0,72,320,228,104.977,137.847,121.412,3.0,1,1.0,,1,1.9,13.021,16.752,100,6589,12139,10456,99,52.0,60,316,200,90.137,897.508,225.06,14,4,4,471.4,0,2.5,17.382,26.661,100,5464,11966,10516,99,73.0,73,315,232,88.489,1100.428,268.861,13,5,5,480.8,0,2.6,17.539,26.711,100,6670,12151,10717,99,76.0,76,319,236
1232,10,92.277,1122.883,169.518,23.0,6.0,,,0,3.0,16.566,24.296,100,5629,12003,10360,100,74.0,79,318,226,,,,,1,,,1,1.9,13.021,16.752,104,0,6199,677,104,47.0,0,0,0,91.141,841.316,156.82,19,4,4,267.4,0,2.5,17.382,26.661,100,5293,11932,10316,100,73.0,71,324,230,90.119,304.781,144.142,6,2,2,178.5,0,2.6,17.539,26.711,100,5434,11894,10307,100,75.0,76,322,233
1232,11,90.237,1418.632,215.651,18.0,5.0,,,0,3.0,16.566,24.296,100,5451,11836,10327,100,74.0,72,321,230,,,,,1,,,1,1.9,13.021,16.752,104,0,6854,201,104,85.0,0,0,0,89.832,712.711,156.715,25,3,3,538.2,0,2.5,17.382,26.661,100,5262,12094,10300,100,73.0,73,324,229,88.263,1191.272,303.393,12,4,4,714.6,0,2.6,17.539,26.711,100,5508,11906,10447,100,77.0,75,323,234
1232,14,90.599,1500.449,197.302,20.0,3.0,,,0,3.0,16.566,24.296,100,6040,11919,10500,100,74.0,71,320,229,,,,,1,,,1,1.9,13.021,16.752,104,0,6286,502,104,63.0,0,0,0,90.082,525.429,139.254,24,3,3,376.1,0,2.5,17.382,26.661,100,5195,11843,10439,100,74.0,71,326,232,88.686,1095.902,301.421,12,4,4,690.1,0,2.6,17.539,26.711,100,6090,11958,10598,100,75.0,69,325,235
1232,16,90.558,1717.008,217.529,18.0,3.0,,,0,3.0,16.566,24.296,100,6368,12033,10533,100,76.0,72,320,230,98.76,132.382,120.646,4.0,1,1.0,,1,1.9,13.021,16.752,100,6731,12079,10411,99,67.0,77,311,212,90.383,842.762,152.776,25,3,3,536.7,0,2.5,17.382,26.661,100,5484,12109,10424,100,76.0,74,321,229,88.786,1290.088,285.41,12,4,4,645.8,0,2.6,17.539,26.711,100,6540,12241,10655,100,80.0,74,319,234
1232,18,92.055,1303.682,255.27,17.0,4.0,,,0,3.0,16.566,24.296,100,4959,11993,10348,100,75.0,67,317,226,,,,,1,,,1,1.9,13.021,16.752,104,0,5686,1039,104,88.0,0,145,0,91.342,684.66,161.229,23,3,3,535.0,0,2.5,17.382,26.661,100,5049,12008,10413,100,74.0,69,321,228,90.024,354.879,153.543,6,2,2,218.9,0,2.6,17.539,26.711,100,5006,12288,10472,100,77.0,70,320,231
1232,20,92.803,1676.075,198.557,21.0,4.0,,,0,3.0,16.566,24.296,100,6019,12072,10370,100,71.0,69,324,224,150.472,425.54,251.405,4.0,2,2.0,263.2,1,1.9,13.021,16.752,104,4537,10839,7966,104,22.0,57,239,140,91.462,1138.806,179.595,22,3,3,738.2,0,2.5,17.382,26.661,100,6319,12244,10511,100,74.0,71,327,228,90.131,255.191,135.706,9,3,3,131.6,0,2.6,17.539,26.711,100,5487,12335,10498,100,74.0,70,326,232
