meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1143,1,78.79,882.508,185.564,17,4,,,0,2.5,18.069,32.345,100,7012,11708,10537,100,76.0,94,326,241,79.502,1466.353,295.465,12.0,6.0,,,1,2.5,15.93,23.851,100,5512,11756,10496,100,76.0,75,326,237,77.565,824.717,140.976,24,4,,,1,2.9,14.895,23.511,100,6933,11982,10635,100,78.0,96,325,241,76.732,657.031,166.056,24,6,,,1,2.9,15.204,22.713,100,7177,11912,10707,100,80.0,97,326,245
1143,2,80.074,705.636,158.002,21,5,,,0,2.5,18.069,32.345,100,6609,12591,10726,100,75.0,88,328,233,,,,,,,,1,2.5,15.93,23.851,104,0,5517,241,104,77.0,0,0,0,78.947,611.953,141.291,20,4,,,1,2.9,14.895,23.511,100,7429,12654,10794,100,78.0,100,321,238,78.557,596.256,145.848,12,3,,,1,2.9,15.204,22.713,100,7099,12610,10783,100,76.0,97,325,238
1143,4,79.536,806.856,214.888,16,4,,,0,2.5,18.069,32.345,100,6949,12350,10744,99,77.0,96,315,238,80.176,1263.662,197.741,20.0,4.0,,,1,2.5,15.93,23.851,100,6691,12075,10643,99,75.0,95,317,236,79.146,117.197,89.434,12,1,,,1,2.9,14.895,23.511,100,6409,11959,10627,99,77.0,88,315,238,78.119,515.82,127.227,24,4,,,1,2.9,15.204,22.713,100,7108,12194,10692,99,79.0,98,323,242
1143,10,79.646,779.402,156.515,22,3,,,0,2.5,18.069,32.345,100,6984,11980,10655,100,75.0,97,322,239,80.206,1568.431,338.23,12.0,4.0,,,1,2.5,15.93,23.851,100,6752,12037,10611,100,78.0,97,315,234,78.094,852.564,139.464,23,3,,,1,2.9,14.895,23.511,100,6708,11951,10653,100,80.0,96,322,244,77.574,681.344,152.515,25,4,,,1,2.9,15.204,22.713,100,6881,12180,10603,100,78.0,97,328,240
1143,11,79.293,848.501,178.019,19,5,,,0,2.5,18.069,32.345,100,7052,11967,10604,100,76.0,96,324,237,80.083,1462.946,264.353,15.0,6.0,,,1,2.5,15.93,23.851,100,6288,12011,10531,100,76.0,86,323,235,78.123,537.34,139.037,17,3,,,1,2.9,14.895,23.511,100,7099,11887,10635,100,77.0,98,325,239,100.187,100.187,100.187,2,1,,,1,2.9,15.204,22.713,100,5426,12318,10101,100,66.0,50,312,190
1143,14,79.317,567.061,145.343,23,4,,,0,2.5,18.069,32.345,100,6645,11814,10608,100,80.0,93,316,238,78.887,1471.499,310.68,13.0,5.0,,,1,2.5,15.93,23.851,100,6733,11734,10590,100,79.0,93,318,239,77.727,589.032,149.841,26,6,,,1,2.9,14.895,23.511,100,6839,11745,10652,100,81.0,93,318,241,77.139,790.014,153.215,26,5,,,1,2.9,15.204,22.713,100,6757,11788,10684,100,82.0,92,318,243
1143,16,79.378,1258.545,217.197,16,3,,,0,2.5,18.069,32.345,100,7405,12076,10653,100,81.0,99,317,239,79.332,894.659,243.479,10.0,3.0,,,1,2.5,15.93,23.851,100,7373,11979,10713,100,81.0,98,317,239,78.691,579.395,136.45,28,4,,,1,2.9,14.895,23.511,100,7521,11956,10648,100,80.0,101,319,240,77.369,486.801,153.719,25,6,,,1,2.9,15.204,22.713,100,7581,12094,10729,100,82.0,101,322,244
1143,18,79.766,973.255,179.819,19,3,,,0,2.5,18.069,32.345,100,7002,11819,10636,100,78.0,95,317,238,80.579,1380.059,269.54,15.0,5.0,,,1,2.5,15.93,23.851,100,6644,12027,10549,100,79.0,91,317,232,78.198,710.888,164.388,22,6,,,1,2.9,14.895,23.511,100,6963,11886,10611,100,81.0,93,317,240,77.308,705.759,152.62,26,5,,,1,2.9,15.204,22.713,100,7029,11885,10747,100,82.0,92,318,243
1143,20,81.147,1064.98,196.002,17,3,,,0,2.5,18.069,32.345,100,6910,12038,10616,100,77.0,93,322,234,81.266,1243.273,210.293,18.0,4.0,,,1,2.5,15.93,23.851,100,7392,12116,10532,100,76.0,99,318,235,79.056,982.327,147.726,26,3,,,1,2.9,14.895,23.511,100,7233,11929,10662,100,79.0,97,323,241,78.129,734.838,168.322,18,4,,,1,2.9,15.204,22.713,100,7481,12052,10714,100,79.0,100,325,241
1143,21,79.933,737.077,134.905,25,3,,,0,2.5,18.069,32.345,100,7366,12446,10737,100,80.0,88,316,234,80.6,118.124,94.695,8.0,1.0,,,1,2.5,15.93,23.851,100,6681,12309,10641,100,78.0,90,321,232,79.092,752.63,126.683,23,5,,,1,2.9,14.895,23.511,100,6737,12318,10688,100,79.0,92,316,238,78.335,620.959,132.17,23,4,,,1,2.9,15.204,22.713,100,6587,12558,10749,100,82.0,90,319,240
