meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1237,1,86.502,896.015,220.071,9,3,3,812.1,1,2.8,18.237,28.682,100,3395,12332,9679,100,54.0,45,329,182,79.311,88.131,83.721,4,2,2,983.7,1,2.9,18.996,25.546,100,5141,11977,9888,100,65.0,60,300,197,72.923,541.423,123.762,32,4,4,392.8,0,2.9,20.854,36.4,100,5313,12092,10276,100,74.0,58,325,217,72.0,501.193,137.319,27.0,6.0,6.0,271.7,1.0,3.1,20.554,31.117,100.0,5175.0,12084.0,10279.0,100.0,73.0,58.0,328.0,215.0
1237,2,96.586,1663.67,495.373,4,2,2,1578.1,1,2.8,18.237,28.682,100,4206,12506,9239,100,44.0,51,320,163,77.496,998.671,145.561,22,3,3,563.0,1,2.9,18.996,25.546,100,4893,12465,9947,100,64.0,59,327,200,73.663,460.504,125.418,31,5,5,260.5,0,2.9,20.854,36.4,100,4365,12075,10227,100,70.0,61,333,213,72.736,488.702,112.5,22.0,4.0,4.0,189.8,1.0,3.1,20.554,31.117,100.0,4781.0,12258.0,10324.0,100.0,71.0,56.0,333.0,213.0
1237,3,88.582,687.282,170.793,8,2,2,567.7,1,2.8,18.237,28.682,100,4269,12204,9707,100,57.0,47,303,177,76.731,1040.021,142.921,23,3,3,574.5,1,2.9,18.996,25.546,100,5178,12539,10412,100,68.0,59,337,206,73.279,393.926,112.568,34,7,7,153.2,0,2.9,20.854,36.4,100,5392,12849,10517,100,71.0,64,332,211,72.178,557.645,144.408,25.0,6.0,6.0,287.8,1.0,3.1,20.554,31.117,100.0,5406.0,12596.0,10646.0,100.0,72.0,63.0,331.0,218.0
1237,4,84.435,1027.577,303.793,7,3,3,731.8,1,2.8,18.237,28.682,100,4973,12030,10024,100,57.0,56,319,188,80.843,829.384,157.859,21,3,3,648.0,1,2.9,18.996,25.546,100,4893,12175,10122,100,58.0,56,317,192,73.293,540.879,119.832,32,6,6,240.2,0,2.9,20.854,36.4,100,5345,11960,10298,100,69.0,61,324,211,72.021,656.012,146.23,25.0,6.0,6.0,315.0,1.0,3.1,20.554,31.117,100.0,5554.0,11972.0,10279.0,100.0,71.0,63.0,323.0,214.0
1237,10,87.584,860.498,203.741,7,2,2,748.7,1,2.8,18.237,28.682,100,4694,11882,9568,100,54.0,56,315,178,80.789,883.592,148.196,26,3,3,706.8,1,2.9,18.996,25.546,100,5336,11796,9850,100,62.0,56,311,191,73.737,740.546,131.684,29,4,4,478.3,0,2.9,20.854,36.4,100,5553,11907,10179,100,72.0,64,323,212,72.94,597.746,140.27,18.0,4.0,4.0,303.2,1.0,3.1,20.554,31.117,100.0,5959.0,11800.0,10271.0,100.0,72.0,62.0,325.0,214.0
1237,11,88.058,569.492,147.236,9,2,2,472.1,1,2.8,18.237,28.682,100,3748,12240,9278,100,54.0,50,306,176,77.041,1278.42,181.248,19,4,4,717.3,1,2.9,18.996,25.546,100,4788,11898,9938,100,64.0,56,329,199,73.342,1015.423,135.961,29,3,3,941.5,0,2.9,20.854,36.4,100,5355,11834,10182,100,71.0,63,329,214,73.326,176.789,101.184,11.0,2.0,2.0,109.1,1.0,3.1,20.554,31.117,100.0,5326.0,11875.0,10157.0,100.0,69.0,60.0,331.0,212.0
1237,14,93.411,813.786,336.967,3,2,2,714.2,1,2.8,18.237,28.682,100,4529,12242,9530,100,45.0,55,303,165,75.81,765.259,156.13,25,4,4,516.6,1,2.9,18.996,25.546,100,4848,12176,10255,100,67.0,56,331,206,73.34,610.747,128.126,30,5,5,311.2,0,2.9,20.854,36.4,100,4812,12340,10246,100,69.0,59,331,212,72.228,590.865,159.565,23.0,6.0,6.0,333.2,1.0,3.1,20.554,31.117,100.0,4829.0,12222.0,10423.0,100.0,73.0,58.0,331.0,215.0
1237,16,85.306,662.644,179.844,10,3,3,549.1,1,2.8,18.237,28.682,100,4715,12300,9790,100,56.0,54,327,182,76.556,888.934,161.133,24,4,4,513.1,1,2.9,18.996,25.546,100,5175,12037,10233,100,71.0,60,304,203,73.349,647.672,133.096,28,6,6,237.6,0,2.9,20.854,36.4,100,5185,12066,10312,100,73.0,61,328,212,72.691,486.296,109.227,21.0,4.0,4.0,156.5,1.0,3.1,20.554,31.117,100.0,5343.0,12075.0,10303.0,100.0,73.0,61.0,327.0,212.0
1237,18,100.53,780.958,330.55,3,2,2,679.2,1,2.8,18.237,28.682,100,3437,12491,8695,100,44.0,37,299,154,76.464,898.289,146.414,27,4,4,475.6,1,2.9,18.996,25.546,100,5389,11937,10093,100,65.0,60,331,198,73.026,721.206,142.871,27,6,6,302.9,0,2.9,20.854,36.4,100,5024,12029,10320,100,69.0,60,332,211,72.659,514.172,147.075,25.0,6.0,6.0,294.8,1.0,3.1,20.554,31.117,100.0,5196.0,12046.0,10424.0,100.0,71.0,60.0,332.0,214.0
1237,20,89.052,933.388,292.655,7,4,4,446.5,1,2.8,18.237,28.682,100,4161,12055,9233,100,55.0,47,301,176,76.773,1952.973,224.206,15,2,2,1866.8,1,2.9,18.996,25.546,100,5054,12193,10266,100,66.0,58,333,203,73.439,543.091,121.461,30,4,4,370.8,0,2.9,20.854,36.4,100,5509,12112,10231,100,71.0,63,332,212,72.916,469.844,148.405,16.0,4.0,4.0,313.4,1.0,3.1,20.554,31.117,100.0,5103.0,11953.0,10289.0,100.0,71.0,63.0,331.0,215.0
