meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1229,1,93.238,830.175,171.149,21,4,4,380.0,0,4.7,19.373,34.216,100,5406,11890,10151,100,69.0,63,315,207,90.851,520.434,138.361,25,3,3,395.0,0,4.0,18.658,26.748,100,4933,12006,10205,100,74.0,67,316,213,91.062,820.775,176.733,16,3,3,442.2,0,4.0,20.26,32.013,100,5003,11982,10124,100,71.0,67,317,212,89.179,599.424,201.374,17,6,6,305.4,0,3.1,18.049,21.514,100,5099,11999,10292,100,73.0,71,322,216
1229,2,94.213,1318.522,176.768,19,3,3,615.6,0,4.7,19.373,34.216,100,4490,11982,9945,100,68.0,63,312,203,91.715,514.436,145.23,27,6,6,198.6,0,4.0,18.658,26.748,100,4574,11937,10212,100,74.0,65,315,214,92.125,525.855,170.735,16,6,6,167.8,0,4.0,20.26,32.013,100,4575,12141,10116,100,70.0,64,315,209,90.77,317.854,146.843,6,2,2,183.8,0,3.1,18.049,21.514,100,4793,12171,10187,100,71.0,67,318,212
1229,3,92.869,781.772,168.874,23,4,4,405.2,0,4.7,19.373,34.216,100,5944,12247,10508,100,71.0,68,310,207,91.516,792.083,146.162,26,3,3,508.6,0,4.0,18.658,26.748,100,5866,12261,10515,100,70.0,65,317,212,91.449,1045.06,199.849,13,4,4,325.6,0,4.0,20.26,32.013,100,5870,12343,10522,100,71.0,68,315,210,90.278,547.36,185.558,12,4,4,278.3,0,3.1,18.049,21.514,100,6129,12286,10546,100,72.0,70,317,213
1229,4,92.901,738.942,156.127,25,4,4,353.9,0,4.7,19.373,34.216,100,5687,12041,10422,99,69.0,63,307,210,92.608,749.245,154.449,25,4,4,390.4,0,4.0,18.658,26.748,100,5841,12290,10299,98,66.0,67,311,207,91.118,684.185,253.398,12,4,4,517.2,0,4.0,20.26,32.013,100,5963,12085,10314,98,67.0,71,310,213,89.614,661.864,234.359,15,6,6,333.9,0,3.1,18.049,21.514,100,6334,12377,10525,99,70.0,75,314,215
1229,10,95.144,794.169,163.886,24,4,4,393.7,0,4.7,19.373,34.216,100,5454,12068,10164,100,69.0,63,310,202,91.951,918.088,157.23,25,4,4,385.5,0,4.0,18.658,26.748,100,5719,11963,10240,100,71.0,68,313,208,92.382,897.579,179.313,14,3,3,402.5,0,4.0,20.26,32.013,100,5772,12020,10218,100,71.0,66,314,209,90.948,266.382,142.48,9,3,3,147.2,0,3.1,18.049,21.514,100,5474,12074,10263,100,72.0,64,317,213
1229,11,93.413,730.268,164.226,24,5,5,279.6,0,4.7,19.373,34.216,100,5740,12452,10342,100,70.0,65,312,206,91.115,761.153,148.852,26,4,4,362.9,0,4.0,18.658,26.748,100,5930,11839,10407,100,73.0,67,318,211,91.248,677.172,177.822,17,5,5,220.4,0,4.0,20.26,32.013,100,5535,11900,10177,100,70.0,68,314,211,89.537,567.302,206.608,17,6,6,302.0,0,3.1,18.049,21.514,100,5695,11858,10212,100,72.0,67,321,216
1229,14,93.193,922.877,192.053,20,4,4,469.3,0,4.7,19.373,34.216,100,4801,11857,9963,100,69.0,64,311,205,90.66,655.417,171.574,22,4,4,444.7,0,4.0,18.658,26.748,100,5190,11783,10106,100,71.0,60,317,213,90.965,557.379,154.152,18,4,4,236.8,0,4.0,20.26,32.013,100,5341,11799,10210,100,71.0,67,314,213,89.542,802.89,231.505,14,5,5,384.9,0,3.1,18.049,21.514,100,5135,11999,10269,100,73.0,64,315,216
1229,16,93.268,888.191,161.351,24,4,4,370.1,0,4.7,19.373,34.216,100,5550,12128,10177,99,70.0,66,312,207,91.113,590.536,148.184,26,4,4,319.0,0,4.0,18.658,26.748,100,5682,12129,10354,100,74.0,69,316,214,91.094,789.228,191.598,17,4,4,408.3,0,4.0,20.26,32.013,100,5411,12053,10301,100,74.0,67,314,212,89.165,736.725,202.377,19,7,7,280.4,0,3.1,18.049,21.514,100,5703,12137,10371,99,74.0,65,319,216
1229,18,93.868,795.49,184.618,20,3,3,640.8,0,4.7,19.373,34.216,100,5142,12343,10003,100,70.0,66,310,206,90.891,564.501,142.23,26,3,3,418.8,0,4.0,18.658,26.748,100,5257,11916,10160,100,72.0,62,317,213,91.396,863.105,173.901,17,4,4,327.9,0,4.0,20.26,32.013,100,5543,12104,10278,100,71.0,67,315,210,89.965,524.486,180.332,12,4,4,260.0,0,3.1,18.049,21.514,100,5111,12212,10262,100,71.0,68,319,214
1229,20,97.477,1399.903,158.471,25,3,3,642.5,0,4.7,19.373,34.216,100,5590,12090,10065,100,65.0,71,293,198,91.764,557.663,144.278,27,3,3,447.5,0,4.0,18.658,26.748,100,5858,12274,10263,100,70.0,75,319,213,91.671,826.665,152.604,20,4,4,259.6,0,4.0,20.26,32.013,100,6422,11902,10446,100,72.0,72,316,213,90.529,535.679,178.288,12,4,4,264.8,0,3.1,18.049,21.514,100,5558,12205,10439,100,72.0,74,321,214
