meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1236,1,72.984,595.468,132.684,29,5,5,466.4,1,1.5,20.717,35.561,100,4503,12099,9724,100,55.0,44,284,162,71.813,450.614,103.414,37,6,6,153.3,0,1.7,20.762,31.302,100,4717,12271,9929,100,57.0,46,279,167,71.566,376.965,104.355,27,2,2,306.1,0,1.6,21.675,46.862,100,4461,12284,9759,100,56.0,45,286,164,70.567,560.016,127.297,28,5,5,286.6,0,2.1,21.242,44.726,100,4623,12202,9902,100,59.0,47,286,168
1236,2,74.15,423.146,107.845,36,4,4,529.7,1,1.5,20.717,35.561,100,4522,13110,9824,100,54.0,42,282,161,72.79,516.159,107.287,36,6,6,168.5,0,1.7,20.762,31.302,100,4818,12716,9766,100,52.0,44,284,160,72.703,638.093,140.324,21,3,3,445.9,0,1.6,21.675,46.862,100,4525,13037,9801,100,51.0,44,286,161,72.02,203.906,97.494,12,2,2,120.1,0,2.1,21.242,44.726,100,4412,13172,9938,100,56.0,42,288,166
1236,3,72.901,406.87,106.762,36,3,3,928.4,1,1.5,20.717,35.561,100,4581,12180,9919,100,57.0,45,280,164,72.577,439.187,104.376,37,3,3,314.4,0,1.7,20.762,31.302,100,4610,12654,9952,100,57.0,47,280,164,72.829,983.262,137.326,28,4,4,412.0,0,1.6,21.675,46.862,100,4850,12285,9809,100,57.0,47,284,161,71.482,402.0,119.449,21,4,4,215.1,0,2.1,21.242,44.726,100,4731,12203,10013,100,58.0,47,285,165
1236,4,72.396,710.972,115.065,33,4,4,455.6,1,1.5,20.717,35.561,100,4815,12569,9924,100,53.0,45,286,164,71.953,563.882,107.657,35,4,4,273.4,0,1.7,20.762,31.302,100,5005,12969,9901,100,54.0,44,286,163,71.988,901.13,161.883,24,6,5,404.3,0,1.6,21.675,46.862,100,5039,12847,9866,100,53.0,47,287,165,70.542,722.169,136.834,27,7,7,234.2,0,2.1,21.242,44.726,100,5143,12904,9950,100,56.0,47,287,169
1236,10,75.574,2563.975,416.892,10,3,3,1472.7,1,1.5,20.717,35.561,100,4771,12106,9555,100,53.0,43,281,154,72.75,540.573,109.4,35,3,3,383.7,0,1.7,20.762,31.302,100,5100,12287,9840,100,56.0,48,282,162,72.144,614.581,111.392,26,2,2,519.9,0,1.6,21.675,46.862,100,4973,12307,9807,100,56.0,44,285,164,70.896,478.663,122.98,30,6,6,223.9,0,2.1,21.242,44.726,100,5116,11877,9906,100,55.0,44,287,167
1236,11,73.229,553.175,130.988,29,6,6,242.6,1,1.5,20.717,35.561,100,4546,11939,9578,100,54.0,42,286,159,72.099,740.136,122.312,31,4,4,373.3,0,1.7,20.762,31.302,100,4470,12142,9647,100,55.0,42,283,162,71.923,521.577,119.946,24,4,4,160.5,0,1.6,21.675,46.862,100,4687,12201,9587,100,53.0,44,290,163,72.06,166.813,95.712,12,2,2,80.6,0,2.1,21.242,44.726,100,4867,12624,9708,100,55.0,46,288,163
1236,14,72.775,708.63,132.193,26,3,3,612.6,1,1.5,20.717,35.561,100,4648,11885,9958,100,55.0,45,282,162,71.753,448.01,104.424,37,4,4,236.7,0,1.7,20.762,31.302,100,4724,12009,10118,100,57.0,45,287,165,72.087,691.21,150.666,25,5,5,362.2,0,1.6,21.675,46.862,100,4750,12224,9914,100,54.0,45,287,164,72.019,199.638,96.688,11,2,2,125.1,0,2.1,21.242,44.726,100,4587,12299,9963,100,53.0,44,289,165
1236,16,72.397,490.196,114.452,33,6,6,373.2,1,1.5,20.717,35.561,100,4795,12201,9941,100,56.0,45,285,162,71.278,359.388,100.63,37,4,4,199.1,0,1.7,20.762,31.302,100,4820,12267,9964,100,59.0,45,285,166,71.369,269.885,108.435,26,4,4,140.8,0,1.6,21.675,46.862,100,4971,12351,9805,100,57.0,45,287,164,70.27,576.374,135.728,26,6,6,265.1,0,2.1,21.242,44.726,100,5110,12510,9924,100,59.0,46,288,165
1236,18,72.789,938.862,147.65,26,3,3,1503.0,1,1.5,20.717,35.561,100,4500,12376,9689,100,58.0,44,284,164,72.062,466.711,108.334,22,2,2,383.4,0,1.7,20.762,31.302,100,4544,11803,9741,100,57.0,44,287,163,72.331,751.581,140.664,25,4,4,385.3,0,1.6,21.675,46.862,100,4447,12076,9755,100,57.0,45,289,162,71.563,603.908,143.701,17,4,4,302.5,0,2.1,21.242,44.726,100,4638,12194,9949,100,58.0,47,291,165
1236,20,73.39,656.684,116.476,33,4,4,364.6,1,1.5,20.717,35.561,100,5036,12593,9811,100,54.0,45,287,162,72.473,849.89,124.453,31,3,3,594.2,0,1.7,20.762,31.302,100,5066,12250,9799,100,55.0,45,290,162,72.216,419.906,116.338,31,3,3,302.5,0,1.6,21.675,46.862,100,4799,12448,9881,100,55.0,45,290,163,71.725,511.524,130.447,18,4,4,242.7,0,2.1,21.242,44.726,100,4949,12280,9859,100,54.0,45,292,163
