meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1141,1,93.375,781.226,179.618,21,4,,,0,3.5,26.989,40.482,100,5890,12149,10384,100,68.0,69,319,205,91.076,720.142,158.983,24,3,,,0,2.0,22.873,26.973,100,5721,11955,10454,100,72.0,66,321,213,92.345,847.999,208.488,13,3,,,0,3.5,28.0,40.571,100.0,5800.0,12610.0,10413.0,100.0,69.0,66.0,321.0,207.0,89.708,1020.315,260.071,15,6,,,0,1.3,23.88,28.085,100,5682,12102,10499,100,72.0,64,323,214
1141,2,95.749,659.22,166.422,24,4,,,0,3.5,26.989,40.482,100,5377,11852,9919,100,64.0,66,313,201,92.749,538.127,134.331,29,4,,,0,2.0,22.873,26.973,100,4963,12312,10042,100,68.0,68,322,208,92.749,538.127,134.331,29,5,,,0,3.5,28.0,40.571,100.0,5400.105263157895,12148.0,10203.78947368421,100.0,68.84210526315789,64.84210526315789,317.5263157894737,207.3684210526316,91.652,354.186,154.171,6,2,,,0,1.3,23.88,28.085,100,5095,12325,10204,100,68.0,70,323,211
1141,4,94.165,1049.852,186.622,21,4,,,0,3.5,26.989,40.482,100,5381,12215,10307,100,70.0,66,308,207,91.57,621.821,142.067,27,4,,,0,2.0,22.873,26.973,100,5688,12344,10485,100,70.0,66,317,211,93.202,1076.123,251.128,16,4,,,0,3.5,28.0,40.571,100.0,5483.0,12356.0,10342.0,100.0,69.0,65.0,312.0,208.0,91.381,623.393,189.504,13,5,,,0,1.3,23.88,28.085,100,5770,12290,10500,100,71.0,67,321,213
1141,10,95.455,747.815,176.901,22,3,,,0,3.5,26.989,40.482,100,5541,12136,10317,100,68.0,65,313,203,91.475,785.537,160.292,24,3,,,0,2.0,22.873,26.973,100,5766,12164,10478,100,72.0,68,318,214,93.064,1017.497,197.68,13,3,,,0,3.5,28.0,40.571,100.0,5366.0,12029.0,10362.0,100.0,69.0,62.0,320.0,207.0,91.818,309.12,144.038,6,2,,,0,1.3,23.88,28.085,100,5630,12231,10562,100,70.0,67,323,212
1141,11,92.758,883.953,187.761,21,4,,,0,3.5,26.989,40.482,100,5955,12204,10506,100,68.0,67,319,210,91.078,711.634,149.552,26,4,,,0,2.0,22.873,26.973,100,5932,12297,10589,100,72.0,71,323,213,92.446,1177.78,234.152,12,4,,,0,3.5,28.0,40.571,100.0,5721.0,12353.0,10337.0,100.0,67.0,68.0,320.0,209.0,89.846,1016.772,256.33,15,6,,,0,1.3,23.88,28.085,100,5973,12294,10597,100,73.0,70,325,216
1141,14,93.196,698.168,179.092,22,4,,,0,3.5,26.989,40.482,100,5094,11810,10065,100,67.0,61,311,206,90.907,711.188,155.161,25,4,,,0,2.0,22.873,26.973,100,4946,11904,10312,100,72.0,62,319,212,92.34,1199.411,212.602,13,4,,,0,3.5,28.0,40.571,100.0,4752.0,11862.0,10171.0,100.0,70.0,60.0,318.0,210.0,90.336,766.364,224.218,15,5,,,0,1.3,23.88,28.085,100,5358,12089,10254,100,73.0,61,319,215
1141,16,94.257,1567.601,230.844,17,5,,,0,3.5,26.989,40.482,100,5218,11948,10282,99,72.0,61,316,206,91.367,663.716,148.368,26,5,,,0,2.0,22.873,26.973,100,5603,11956,10251,100,73.0,64,323,212,92.624,591.987,162.161,21,5,,,0,3.5,28.0,40.571,100.0,5165.0,11973.0,10027.0,100.0,70.0,60.0,322.0,207.0,90.0,701.99,243.056,17,6,,,0,1.3,23.88,28.085,100,5314,12077,10326,100,73.0,63,325,215
1141,18,94.298,1548.881,221.459,17,4,,,0,3.5,26.989,40.482,100,5530,12144,10230,100,66.0,64,313,205,91.45,597.029,143.324,28,4,,,0,2.0,22.873,26.973,100,5187,12237,10232,100,71.0,66,315,210,92.919,881.363,197.038,16,4,,,0,3.5,28.0,40.571,100.0,5178.0,12195.0,10146.0,100.0,67.0,64.0,315.0,208.0,90.836,615.106,202.587,18,6,,,0,1.3,23.88,28.085,100,5284,12684,10296,100,72.0,66,319,214
1141,20,94.402,1191.961,192.701,20,3,,,0,3.5,26.989,40.482,100,5773,11977,10143,100,69.0,70,310,206,92.11,1266.865,207.921,18,3,,,0,2.0,22.873,26.973,100,6007,11867,10180,100,70.0,70,319,209,93.381,764.024,174.446,21,3,,,0,3.5,28.0,40.571,100.0,5627.0,11815.0,10102.0,100.0,67.0,64.0,317.0,205.0,91.892,369.16,156.203,6,2,,,0,1.3,23.88,28.085,100,5729,11849,10278,100,71.0,67,322,212
1141,21,95.402,606.086,155.002,25,5,,,0,3.5,26.989,40.482,100,5535,12359,10196,100,68.0,65,307,201,92.605,566.946,141.621,28,4,,,0,2.0,22.873,26.973,100,5472,12356,10348,100,71.0,65,315,209,94.082,814.506,160.685,18,4,,,0,3.5,28.0,40.571,100.0,5282.0,12368.0,10342.0,100.0,71.0,64.0,313.0,208.0,92.121,674.615,216.871,9,3,,,0,1.3,23.88,28.085,100,5298,12519,10389,100,71.0,63,318,210
1141,22,95.015,1139.741,199.083,20,3,,,0,3.5,26.989,40.482,100,5538,12762,10471,100,70.0,65,311,207,92.525,597.432,141.681,27,3,,,0,2.0,22.873,26.973,100,5511,12566,10304,100,71.0,66,315,207,93.475,970.434,180.138,15,3,,,0,3.5,28.0,40.571,100.0,5579.0,12309.0,10440.0,100.0,70.0,66.0,314.0,206.0,91.4,676.543,223.094,15,5,,,0,1.3,23.88,28.085,100,5745,12226,10564,100,72.0,69,317,213
1141,23,96.018,1628.214,271.221,15,4,,,0,3.5,26.989,40.482,100,4542,12234,9877,100,64.0,62,320,202,92.44,499.656,133.074,28,4,,,0,2.0,22.873,26.973,100,4722,12138,10143,100,69.0,67,318,210,93.882,574.004,178.375,15,4,,,0,3.5,28.0,40.571,100.0,4576.0,12082.0,9968.0,100.0,65.0,66.0,321.0,205.0,91.461,962.764,267.704,8,3,,,0,1.3,23.88,28.085,100,4759,12438,10215,100,69.0,67,324,213
1141,24,94.575,909.611,218.592,18,6,,,0,3.5,26.989,40.482,100,5482,11815,9948,100,69.0,67,308,203,91.586,562.039,145.348,27,6,,,0,2.0,22.873,26.973,100,5549,11888,10166,100,73.0,68,317,213,93.18,834.919,238.808,13,5,,,0,3.5,28.0,40.571,100.0,5433.0,11995.0,10052.0,100.0,70.0,67.0,316.0,209.0,91.473,614.31,198.281,12,4,,,0,1.3,23.88,28.085,100,5586,11922,10083,100,72.0,68,321,210
1141,27,95.043,1036.689,175.511,22,3,,,0,3.5,26.989,40.482,100,5637,12278,10313,100,67.0,65,316,204,91.376,582.191,143.672,25,4,,,0,2.0,22.873,26.973,100,5816,12470,10354,100,71.0,68,320,210,93.423,715.618,163.796,23,4,,,0,3.5,28.0,40.571,100.0,5401.0,12518.0,10103.0,100.0,68.0,63.0,322.0,206.0,90.809,804.843,254.581,17,6,,,0,1.3,23.88,28.085,100,5796,12215,10359,100,72.0,67,322,216
1141,31,95.105,976.189,194.901,20,3,,,0,3.5,26.989,40.482,100,5576,12003,10181,100,70.0,65,312,205,91.608,732.064,155.681,25,3,,,0,2.0,22.873,26.973,100,5743,11820,10297,100,71.0,68,318,213,93.116,1193.374,188.585,16,3,,,0,3.5,28.0,40.571,100.0,5972.0,11861.0,10228.0,100.0,69.0,68.0,320.0,207.0,90.914,1019.483,247.105,15,5,,,0,1.3,23.88,28.085,100,5853,11833,10285,100,72.0,68,321,214
1141,44,94.917,1278.864,219.367,13,4,,,0,3.5,26.989,40.482,100,4830,12187,10132,100,69.0,64,316,205,91.543,569.079,142.866,27,5,,,0,2.0,22.873,26.973,100,5431,12274,10400,100,72.0,70,321,213,92.555,700.347,175.374,17,5,,,0,3.5,28.0,40.571,100.0,5476.0,12206.0,10202.0,100.0,68.0,66.0,320.0,209.0,90.384,780.737,222.983,15,5,,,0,1.3,23.88,28.085,100,5452,12343,10424,100,71.0,70,321,214
1141,55,96.072,1058.941,186.056,21,4,,,0,3.5,26.989,40.482,100,5216,12083,10162,100,68.0,60,312,202,91.956,524.735,140.458,28,5,,,0,2.0,22.873,26.973,100,5188,12189,10307,100,71.0,60,322,213,92.945,613.717,160.395,21,5,,,0,3.5,28.0,40.571,100.0,5665.0,12152.0,10071.0,100.0,69.0,65.0,318.0,206.0,90.154,1184.081,266.624,18,6,,,0,1.3,23.88,28.085,100,5596,12157,10199,100,73.0,64,326,215
1141,63,94.966,1113.032,165.959,20,3,,,0,3.5,26.989,40.482,100,4740,11913,9888,100,67.0,63,316,203,91.882,627.883,152.154,25,4,,,0,2.0,22.873,26.973,100,4568,12120,10155,100,71.0,64,318,210,92.731,540.154,169.668,17,5,,,0,3.5,28.0,40.571,100.0,5262.0,11955.0,10121.0,100.0,71.0,66.0,314.0,209.0,90.34,769.27,223.795,15,5,,,0,1.3,23.88,28.085,100,5164,12242,10345,100,75.0,65,319,215
1141,77,94.689,917.877,199.455,20,6,,,0,3.5,26.989,40.482,100,5476,12129,10108,100,70.0,65,307,205,91.793,551.394,142.649,28,6,,,0,2.0,22.873,26.973,100,5650,12157,10164,100,73.0,64,315,211,93.629,788.743,218.902,14,5,,,0,3.5,28.0,40.571,100.0,4842.0,12087.0,9993.0,100.0,70.0,66.0,316.0,206.0,91.443,614.008,198.825,12,4,,,0,1.3,23.88,28.085,100,4961,12070,10183,100,73.0,69,320,213
1141,81,94.997,864.719,163.045,24,4,,,0,3.5,26.989,40.482,100,5863,11995,10328,99,69.0,68,312,205,92.024,704.656,144.267,27,3,,,0,2.0,22.873,26.973,100,6300,12000,10374,100,69.0,69,319,210,93.045,1024.732,232.647,12,3,,,0,3.5,28.0,40.571,100.0,6022.0,12086.0,10452.0,100.0,69.0,66.0,314.0,208.0,92.101,341.396,152.452,7,3,,,0,1.3,23.88,28.085,100,5987,12169,10463,100,69.0,68,318,211
